CHURN,ACLENGTH,INTPLAN,VMPLAN,NVMAIL,DMIN,DCALL,DCHARGE,EMIN,ECALL,ECHARGE,NMIN,NCALL,NCHARGE,IMIN,ICALL,ICHARGE,CUSCALL
yes,65,0,0,0,129.1,137,21.95,228.5,83,19.42,208.8,111,9.4,12.7,6,3.43,4
yes,161,0,0,0,332.9,67,56.59,317.8,97,27.01,160.6,128,7.23,5.4,9,1.46,4
yes,77,0,0,0,62.4,89,10.61,169.9,121,14.44,209.6,64,9.43,5.7,6,1.54,5
yes,12,0,0,0,249.6,118,42.43,252.4,119,21.45,280.2,90,12.61,11.8,3,3.19,1
yes,135,1,1,41,173.1,85,29.43,203.9,107,17.33,122.2,78,5.5,14.6,15,3.94,0
yes,119,0,0,0,159.1,114,27.05,231.3,117,19.66,143.2,91,6.44,8.8,3,2.38,5
yes,87,0,0,0,151,83,25.67,219.7,116,18.67,203.9,127,9.18,9.7,3,2.62,5
yes,121,0,1,30,198.4,129,33.73,75.3,77,6.4,181.2,77,8.15,5.8,3,1.57,3
yes,150,0,0,0,178.9,101,30.41,169.1,110,14.37,148.6,100,6.69,13.8,3,3.73,4
yes,82,0,0,0,300.3,109,51.05,181,100,15.39,270.1,73,12.15,11.7,4,3.16,0
yes,144,0,0,0,61.6,117,10.47,77.1,85,6.55,173,99,7.79,8.2,7,2.21,4
yes,106,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2
yes,94,0,0,0,157.9,105,26.84,155,101,13.18,189.6,84,8.53,8,5,2.16,4
yes,128,0,0,0,237.9,125,40.44,247.6,93,21.05,208.9,68,9.4,13.9,4,3.75,1
yes,155,0,0,0,203.4,100,34.58,190.9,104,16.23,196,119,8.82,8.9,4,2.4,0
yes,120,0,0,0,212.1,131,36.06,209.4,104,17.8,167.2,96,7.52,5.3,5,1.43,1
yes,77,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2
yes,36,1,1,42,196.8,89,33.46,254.9,122,21.67,138.3,126,6.22,20,6,5.4,0
yes,74,0,0,0,282.5,114,48.03,219.9,48,18.69,170,115,7.65,9.4,4,2.54,1
yes,162,0,0,0,70.7,108,12.02,157.5,87,13.39,154.8,82,6.97,9.1,3,2.46,4
yes,61,0,1,27,187.5,124,31.88,146.6,103,12.46,225.7,129,10.16,6.4,6,1.73,4
yes,117,1,0,0,167.1,86,28.41,177.5,87,15.09,249.4,132,11.22,14.1,7,3.81,2
yes,83,0,0,0,337.4,120,57.36,227.4,116,19.33,153.9,114,6.93,15.8,7,4.27,0
yes,126,0,0,0,58.2,94,9.89,138.7,118,11.79,136.8,91,6.16,11.9,1,3.21,5
yes,208,0,0,0,326.5,67,55.51,176.3,113,14.99,181.7,102,8.18,10.7,6,2.89,2
yes,131,1,1,26,292.9,101,49.79,199.7,97,16.97,255.3,127,11.49,13.8,7,3.73,4
yes,70,1,0,0,226.7,98,38.54,228.1,115,19.39,73.2,93,3.29,17.6,4,4.75,2
yes,136,0,0,0,250.2,121,42.53,267.1,118,22.7,151,114,6.8,13,2,3.51,1
yes,93,1,0,0,312,109,53.04,129.4,100,11,217.6,74,9.79,10.5,2,2.84,0
yes,139,0,0,0,134.4,106,22.85,211.3,98,17.96,193.6,125,8.71,10.2,2,2.75,5
yes,137,1,0,0,135.1,95,22.97,134.1,102,11.4,223.1,81,10.04,12.3,2,3.32,2
yes,108,0,0,0,198.5,99,33.75,267.8,60,22.76,354.9,75,15.97,9.4,3,2.54,0
yes,33,0,1,29,157.4,99,26.76,117.9,80,10.02,279.2,79,12.56,13.9,11,3.75,4
yes,92,1,0,0,62.6,111,10.64,180.6,126,15.35,221.7,80,9.98,10.4,2,2.81,1
yes,144,0,1,48,189.8,96,32.27,123.4,67,10.49,214.2,106,9.64,6.5,2,1.76,2
yes,89,0,0,0,303.9,95,51.66,260.9,114,22.18,312.1,89,14.04,5.3,3,1.43,1
